first_name,last_name,email,birth_date,country,gpa,major,iq,registrations
Alyda,Jime,ajime40@upenn.edu,9/21/1987,Sweden,2.15,Mathematics,117,"[{'grade_type': 'PASS_FAIL', 'point_percent': 92, 'course': 'Ancient Philosophy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 94, 'course': 'Post-Classical History'}, {'grade_type': 'PASS_FAIL', 'point_percent': 81, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 99, 'course': 'World Views'}]"
Rosalinde,Bridgstock,rbridgstock41@cnn.com,2/26/1920,Netherlands,3.98,Computer Science,119,"[{'grade_type': 'A_THROU_F', 'point_percent': 95, 'course': 'Post-Classical History'}, {'grade_type': 'PASS_FAIL', 'point_percent': 89, 'course': 'World Views'}, {'grade_type': 'PASS_FAIL', 'point_percent': 75, 'course': 'Principles of Mathematics and Logic'}]"
Krystle,Christer,kchrister42@oakley.com,7/18/1992,Portugal,2.14,Communications,121,"[{'grade_type': 'A_THROU_F', 'point_percent': 89, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'AUDIT', 'point_percent': 93, 'course': 'Literary Themes'}, {'grade_type': 'PASS_FAIL', 'point_percent': 77, 'course': 'Science: History and Methodology'}]"
Shermy,Curnok,scurnok43@webmd.com,9/24/1955,South Korea,2.59,Anthropology,81,"[{'grade_type': 'PASS_FAIL', 'point_percent': 79, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'A_THROU_F', 'point_percent': 88, 'course': 'Modern Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 95, 'course': 'Literary Themes'}]"
Tracee,Bawle,tbawle44@guardian.co.uk,5/25/1921,Russia,2.89,Political Science,87,"[{'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'World Views'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'PASS_FAIL', 'point_percent': 93, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'AUDIT', 'point_percent': 99, 'course': 'Science: History and Methodology'}]"
Kitti,Albasini,kalbasini45@goo.ne.jp,5/6/1990,Netherlands,3.66,Political Science,100,"[{'grade_type': 'PASS_FAIL', 'point_percent': 79, 'course': 'Applied Themes in English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 85, 'course': 'Literary Genres'}]"
Samantha,Klishin,sklishin46@whitehouse.gov,10/16/1980,Mexico,4.0,Political Science,107,"[{'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'A_THROU_F', 'point_percent': 87, 'course': 'Sacred Writing'}, {'grade_type': 'A_THROU_F', 'point_percent': 100, 'course': 'Literary Themes'}, {'grade_type': 'A_THROU_F', 'point_percent': 100, 'course': 'World Views'}]"
Hermy,Caddies,hcaddies47@wisc.edu,12/29/1988,Peru,2.57,Pre-Med,110,"[{'grade_type': 'AUDIT', 'point_percent': 81, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'A_THROU_F', 'point_percent': 77, 'course': 'World Views'}]"
Mathias,Ethersey,methersey48@forbes.com,6/23/1953,Honduras,2.75,Political Science,128,"[{'grade_type': 'A_THROU_F', 'point_percent': 96, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'A_THROU_F', 'point_percent': 98, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 89, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'Sacred Writing'}]"
Coriss,Cumes,ccumes49@nba.com,6/14/1999,Philippines,1.73,Political Science,118,"[{'grade_type': 'AUDIT', 'point_percent': 99, 'course': 'Literary Themes'}, {'grade_type': 'AUDIT', 'point_percent': 99, 'course': 'Literary Genres'}, {'grade_type': 'PASS_FAIL', 'point_percent': 75, 'course': 'World Views'}, {'grade_type': 'PASS_FAIL', 'point_percent': 85, 'course': 'Knowledge'}]"
Giles,Benda,gbenda4a@imageshack.us,6/10/1934,Portugal,2.48,Business,125,"[{'grade_type': 'A_THROU_F', 'point_percent': 90, 'course': 'Science: History and Methodology'}, {'grade_type': 'AUDIT', 'point_percent': 87, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'A_THROU_F', 'point_percent': 98, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'AUDIT', 'point_percent': 89, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'A_THROU_F', 'point_percent': 86, 'course': 'Modern History-19th and 20th Centuries'}]"
Emory,Adamiak,eadamiak4b@cnn.com,8/2/1944,Italy,1.89,Political Science,81,"[{'grade_type': 'PASS_FAIL', 'point_percent': 81, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'AUDIT', 'point_percent': 90, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'A_THROU_F', 'point_percent': 79, 'course': 'Principles of Mathematics and Logic'}]"
Jilleen,McCloud,jmccloud4c@blogspot.com,9/23/1977,Argentina,2.32,Pre-Med,95,"[{'grade_type': 'PASS_FAIL', 'point_percent': 80, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 75, 'course': 'Science: History and Methodology'}]"
Sharyl,Jumel,sjumel4d@ft.com,6/22/1956,China,2.05,Political Science,87,"[{'grade_type': 'AUDIT', 'point_percent': 98, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'PASS_FAIL', 'point_percent': 95, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'AUDIT', 'point_percent': 77, 'course': 'Post-Classical History'}, {'grade_type': 'AUDIT', 'point_percent': 81, 'course': 'Applied Themes in English'}]"
Emeline,Kindley,ekindley4e@constantcontact.com,12/28/1959,China,3.17,Anthropology,80,"[{'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'World Views'}, {'grade_type': 'A_THROU_F', 'point_percent': 76, 'course': 'Intro to College English'}]"
Adaline,Maher,amaher4f@upenn.edu,1/5/1956,Ukraine,2.32,Computer Science,91,"[{'grade_type': 'A_THROU_F', 'point_percent': 85, 'course': 'Ancient Philosophy'}, {'grade_type': 'A_THROU_F', 'point_percent': 84, 'course': 'Post-Classical History'}, {'grade_type': 'AUDIT', 'point_percent': 75, 'course': 'Physical Activity and Autonomy'}]"
Esdras,Leitch,eleitch4g@state.gov,1/9/1948,Serbia,2.25,Computer Science,128,"[{'grade_type': 'A_THROU_F', 'point_percent': 93, 'course': 'Literary Genres'}]"
Jaime,Bidgood,jbidgood4h@ocn.ne.jp,11/3/1934,Palestinian Territory,3.95,Business,99,"[{'grade_type': 'AUDIT', 'point_percent': 87, 'course': 'Post-Classical History'}]"
Judi,Maleck,jmaleck4i@ocn.ne.jp,12/20/1987,China,3.64,Political Science,124,"[{'grade_type': 'A_THROU_F', 'point_percent': 99, 'course': 'Literary Themes'}, {'grade_type': 'A_THROU_F', 'point_percent': 89, 'course': 'Knowledge'}, {'grade_type': 'AUDIT', 'point_percent': 76, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Dulcia,Crosbie,dcrosbie4j@eepurl.com,9/4/1956,Sweden,1.59,Political Science,100,"[{'grade_type': 'PASS_FAIL', 'point_percent': 82, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'AUDIT', 'point_percent': 93, 'course': 'Modern Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 81, 'course': 'Post-Classical History'}, {'grade_type': 'A_THROU_F', 'point_percent': 76, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'PASS_FAIL', 'point_percent': 96, 'course': 'Applied Themes in English'}]"
Tobe,Applegate,tapplegate4k@unblog.fr,7/9/1963,Indonesia,1.88,Economics,90,"[{'grade_type': 'PASS_FAIL', 'point_percent': 84, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Modern Philosophy'}]"
Konstantin,Pulman,kpulman4l@ft.com,8/27/1976,Sweden,3.74,Economics,96,"[{'grade_type': 'A_THROU_F', 'point_percent': 99, 'course': 'Modern Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 87, 'course': 'Sacred Writing'}]"
Westley,Gaskill,wgaskill4m@apache.org,7/6/1927,Indonesia,3.02,Education,128,"[{'grade_type': 'AUDIT', 'point_percent': 91, 'course': 'Knowledge'}, {'grade_type': 'PASS_FAIL', 'point_percent': 91, 'course': 'Intro to College English'}]"
Decca,Durdan,ddurdan4n@printfriendly.com,9/19/1983,China,2.14,American Studies,82,"[{'grade_type': 'PASS_FAIL', 'point_percent': 91, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'PASS_FAIL', 'point_percent': 96, 'course': 'Intro to College English'}, {'grade_type': 'A_THROU_F', 'point_percent': 88, 'course': 'Modern Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 99, 'course': 'Physical Activity and Autonomy'}]"
Nicholle,Bending,nbending4o@pcworld.com,7/31/1949,Morocco,3.18,Computer Science,102,"[{'grade_type': 'PASS_FAIL', 'point_percent': 88, 'course': 'Ancient Philosophy'}, {'grade_type': 'A_THROU_F', 'point_percent': 84, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'PASS_FAIL', 'point_percent': 81, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'PASS_FAIL', 'point_percent': 89, 'course': 'Modern History-19th and 20th Centuries'}]"
Damita,Penas,dpenas4p@usatoday.com,7/29/1989,Ukraine,1.59,Anthropology,95,"[{'grade_type': 'A_THROU_F', 'point_percent': 79, 'course': 'Literary Genres'}, {'grade_type': 'A_THROU_F', 'point_percent': 84, 'course': 'World Views'}, {'grade_type': 'PASS_FAIL', 'point_percent': 93, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'AUDIT', 'point_percent': 78, 'course': 'Post-Classical History'}, {'grade_type': 'AUDIT', 'point_percent': 94, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Harman,Harses,hharses4q@i2i.jp,7/29/1981,Russia,3.79,Philosophy,129,"[{'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 99, 'course': 'Sacred Writing'}, {'grade_type': 'AUDIT', 'point_percent': 87, 'course': 'Principles of Mathematics and Logic'}]"
Lennard,Donisi,ldonisi4r@topsy.com,6/10/1996,Croatia,3.66,American Studies,97,"[{'grade_type': 'PASS_FAIL', 'point_percent': 78, 'course': 'Literary Themes'}, {'grade_type': 'A_THROU_F', 'point_percent': 95, 'course': 'Literary Genres'}, {'grade_type': 'AUDIT', 'point_percent': 83, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'A_THROU_F', 'point_percent': 97, 'course': 'Renaissance to Baroque Art'}]"
Chev,Bute,cbute4s@csmonitor.com,8/17/1925,Portugal,3.17,American Studies,98,"[{'grade_type': 'AUDIT', 'point_percent': 79, 'course': 'Applied Themes in English'}, {'grade_type': 'AUDIT', 'point_percent': 87, 'course': 'Knowledge'}, {'grade_type': 'A_THROU_F', 'point_percent': 96, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'A_THROU_F', 'point_percent': 83, 'course': 'Post-Classical History'}, {'grade_type': 'PASS_FAIL', 'point_percent': 95, 'course': 'Ancient Philosophy'}]"
Korney,Tunkin,ktunkin4t@infoseek.co.jp,9/21/1950,Philippines,2.63,Political Science,118,"[{'grade_type': 'AUDIT', 'point_percent': 86, 'course': 'Intro to College English'}, {'grade_type': 'AUDIT', 'point_percent': 93, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'AUDIT', 'point_percent': 97, 'course': 'Ancient Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 84, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Kristy,Pepall,kpepall4u@deliciousdays.com,8/10/1938,Palestinian Territory,1.65,Education,86,"[{'grade_type': 'A_THROU_F', 'point_percent': 88, 'course': 'Applied Themes in English'}]"
Adams,McAree,amcaree4v@mlb.com,12/27/1934,China,1.73,Pre-Med,122,"[{'grade_type': 'PASS_FAIL', 'point_percent': 88, 'course': 'Applied Ethics in Humanities'}]"
Roosevelt,Shelton,rshelton4w@youtube.com,5/26/1955,Portugal,1.98,Political Science,106,"[{'grade_type': 'A_THROU_F', 'point_percent': 88, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'Renaissance to Baroque Art'}]"
Lanette,Spight,lspight4x@umn.edu,7/21/1949,Argentina,2.96,American Studies,82,"[{'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'Literary Genres'}, {'grade_type': 'AUDIT', 'point_percent': 95, 'course': 'Science: History and Methodology'}]"
Briney,Sivyour,bsivyour4y@usa.gov,12/24/1988,Mexico,3.52,Education,127,"[{'grade_type': 'AUDIT', 'point_percent': 89, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'PASS_FAIL', 'point_percent': 86, 'course': 'Applied Ethics in Humanities'}]"
Reyna,Zuppa,rzuppa4z@wikipedia.org,2/9/1976,Peru,3.9,Mathematics,90,"[{'grade_type': 'AUDIT', 'point_percent': 94, 'course': 'Greco-Roman Tradition'}]"
Deny,Jolly,djolly50@about.me,3/18/1972,Zimbabwe,1.63,Pre-Med,115,"[{'grade_type': 'AUDIT', 'point_percent': 85, 'course': 'Post-Classical History'}]"
Colet,Vittery,cvittery51@hibu.com,6/6/1930,Serbia,3.77,Sociology,103,"[{'grade_type': 'PASS_FAIL', 'point_percent': 78, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 82, 'course': 'Modern Philosophy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'Applied Themes in English'}, {'grade_type': 'A_THROU_F', 'point_percent': 86, 'course': 'Sacred Writing'}]"
Lyn,Skoof,lskoof52@cdc.gov,5/29/1969,Russia,3.32,American Studies,126,"[{'grade_type': 'A_THROU_F', 'point_percent': 84, 'course': 'Modern Philosophy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 93, 'course': 'Science: History and Methodology'}, {'grade_type': 'PASS_FAIL', 'point_percent': 86, 'course': 'Ancient Philosophy'}, {'grade_type': 'A_THROU_F', 'point_percent': 97, 'course': 'Physical Activity and Autonomy'}]"
Ajay,Baroche,abaroche53@goo.gl,7/22/1940,Indonesia,3.26,Business,124,"[{'grade_type': 'AUDIT', 'point_percent': 97, 'course': 'Literary Themes'}, {'grade_type': 'AUDIT', 'point_percent': 97, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'World Views'}]"
Hersch,Brundrett,hbrundrett54@yahoo.co.jp,5/18/1961,Portugal,2.02,Business,113,"[{'grade_type': 'AUDIT', 'point_percent': 82, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'PASS_FAIL', 'point_percent': 83, 'course': 'Knowledge'}, {'grade_type': 'PASS_FAIL', 'point_percent': 84, 'course': 'World Views'}]"
Codie,Higgoe,chiggoe55@ca.gov,5/11/1978,Kazakhstan,2.81,Mathematics,83,"[{'grade_type': 'A_THROU_F', 'point_percent': 84, 'course': 'Science: History and Methodology'}, {'grade_type': 'A_THROU_F', 'point_percent': 88, 'course': 'Post-Classical History'}]"
Elyssa,Knolles-Green,eknollesgreen56@addtoany.com,2/27/1993,France,1.84,Economics,113,"[{'grade_type': 'A_THROU_F', 'point_percent': 87, 'course': 'Intro to College English'}, {'grade_type': 'AUDIT', 'point_percent': 76, 'course': 'Modern Philosophy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 88, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'PASS_FAIL', 'point_percent': 88, 'course': 'Post-Classical History'}, {'grade_type': 'PASS_FAIL', 'point_percent': 76, 'course': 'Applied Themes in English'}]"
Jeana,Garr,jgarr57@parallels.com,11/3/1987,Tanzania,3.11,Business,115,"[{'grade_type': 'AUDIT', 'point_percent': 98, 'course': 'Science: History and Methodology'}, {'grade_type': 'PASS_FAIL', 'point_percent': 92, 'course': 'Literary Genres'}, {'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'World Views'}, {'grade_type': 'PASS_FAIL', 'point_percent': 97, 'course': 'Applied Themes in English'}]"
Mendie,Fowley,mfowley58@nbcnews.com,8/3/1939,China,2.86,Economics,103,"[{'grade_type': 'AUDIT', 'point_percent': 97, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 91, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Kirstin,Shillingford,kshillingford59@etsy.com,4/2/1938,Mexico,2.57,American Studies,113,"[{'grade_type': 'A_THROU_F', 'point_percent': 80, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'AUDIT', 'point_percent': 75, 'course': 'Ancient Philosophy'}, {'grade_type': 'A_THROU_F', 'point_percent': 85, 'course': 'Knowledge'}, {'grade_type': 'A_THROU_F', 'point_percent': 100, 'course': 'Modern Philosophy'}]"
Isa,Surgen,isurgen5a@yale.edu,5/17/1985,Brazil,1.79,Communications,102,"[{'grade_type': 'AUDIT', 'point_percent': 77, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Winny,Sugge,wsugge5b@ucsd.edu,10/2/1979,China,1.87,Education,98,"[{'grade_type': 'A_THROU_F', 'point_percent': 91, 'course': 'Sacred Writing'}, {'grade_type': 'AUDIT', 'point_percent': 89, 'course': 'Modern Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 85, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'A_THROU_F', 'point_percent': 78, 'course': 'Science: History and Methodology'}, {'grade_type': 'PASS_FAIL', 'point_percent': 76, 'course': 'Principles of Mathematics and Logic'}]"
Kori,Gingel,kgingel5c@woothemes.com,8/24/1924,France,3.24,Education,123,"[{'grade_type': 'AUDIT', 'point_percent': 81, 'course': 'World Views'}, {'grade_type': 'PASS_FAIL', 'point_percent': 86, 'course': 'Intro to College English'}, {'grade_type': 'A_THROU_F', 'point_percent': 81, 'course': 'Greco-Roman Tradition'}]"
Sutton,McMennum,smcmennum5d@shutterfly.com,11/29/1944,Panama,2.46,Political Science,128,"[{'grade_type': 'AUDIT', 'point_percent': 79, 'course': 'Ancient Philosophy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Science: History and Methodology'}, {'grade_type': 'A_THROU_F', 'point_percent': 90, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 82, 'course': 'Applied Themes in English'}, {'grade_type': 'A_THROU_F', 'point_percent': 96, 'course': 'Greco-Roman Tradition'}]"
Noell,Rappport,nrappport5e@ebay.co.uk,6/2/1921,South Korea,2.41,Computer Science,110,"[{'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'Modern Philosophy'}]"
Deloris,Cramb,dcramb5f@paginegialle.it,5/3/1926,Indonesia,2.97,Education,121,"[{'grade_type': 'PASS_FAIL', 'point_percent': 95, 'course': 'Literary Themes'}, {'grade_type': 'A_THROU_F', 'point_percent': 79, 'course': 'Modern Philosophy'}]"
Cleon,Clifforth,cclifforth5g@businesswire.com,10/20/1944,Brazil,2.78,Business,82,"[{'grade_type': 'A_THROU_F', 'point_percent': 80, 'course': 'Principles of Mathematics and Logic'}]"
Shaylynn,Skyrme,sskyrme5h@nba.com,5/20/1996,France,3.49,Anthropology,123,"[{'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'AUDIT', 'point_percent': 79, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'PASS_FAIL', 'point_percent': 96, 'course': 'Greco-Roman Tradition'}]"
Gerald,Dugald,gdugald5i@google.com.au,3/23/1986,China,3.72,Communications,108,"[{'grade_type': 'A_THROU_F', 'point_percent': 92, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 86, 'course': 'Applied Themes in English'}]"
Lilyan,Billin,lbillin5j@flickr.com,6/4/1954,China,3.58,Economics,128,"[{'grade_type': 'PASS_FAIL', 'point_percent': 85, 'course': 'World Views'}, {'grade_type': 'PASS_FAIL', 'point_percent': 92, 'course': 'Applied Themes in English'}, {'grade_type': 'A_THROU_F', 'point_percent': 79, 'course': 'Modern Philosophy'}, {'grade_type': 'A_THROU_F', 'point_percent': 81, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'A_THROU_F', 'point_percent': 99, 'course': 'Knowledge'}]"
Saxe,Kubin,skubin5k@skype.com,2/2/1946,Peru,1.93,Anthropology,115,"[{'grade_type': 'A_THROU_F', 'point_percent': 96, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'A_THROU_F', 'point_percent': 80, 'course': 'Knowledge'}, {'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'Literary Genres'}]"
Helli,Smalcombe,hsmalcombe5l@artisteer.com,11/22/1933,Indonesia,3.19,Economics,130,"[{'grade_type': 'PASS_FAIL', 'point_percent': 84, 'course': 'Applied Themes in English'}]"
Teena,Old,told5m@narod.ru,11/7/1932,China,3.15,Computer Science,93,"[{'grade_type': 'A_THROU_F', 'point_percent': 80, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'AUDIT', 'point_percent': 96, 'course': 'Science: History and Methodology'}, {'grade_type': 'A_THROU_F', 'point_percent': 91, 'course': 'World Views'}]"
Leonhard,Ivermee,livermee5n@dion.ne.jp,7/12/1949,Indonesia,1.59,Education,100,"[{'grade_type': 'A_THROU_F', 'point_percent': 99, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'A_THROU_F', 'point_percent': 89, 'course': 'Applied Themes in English'}]"
Jeffy,Echelle,jechelle5o@alexa.com,1/3/1934,Russia,2.06,Mathematics,82,"[{'grade_type': 'A_THROU_F', 'point_percent': 99, 'course': 'Intro to College English'}, {'grade_type': 'AUDIT', 'point_percent': 98, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'A_THROU_F', 'point_percent': 76, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'PASS_FAIL', 'point_percent': 96, 'course': 'Renaissance to Baroque Art'}]"
Archer,O'Lagen,aolagen5p@ameblo.jp,5/16/1980,China,2.38,Business,114,"[{'grade_type': 'PASS_FAIL', 'point_percent': 77, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'AUDIT', 'point_percent': 78, 'course': 'Sacred Writing'}, {'grade_type': 'PASS_FAIL', 'point_percent': 82, 'course': 'Science: History and Methodology'}, {'grade_type': 'AUDIT', 'point_percent': 90, 'course': 'Intro to College English'}]"
Orlan,Patinkin,opatinkin5q@nyu.edu,7/9/1981,Japan,2.34,Philosophy,86,"[{'grade_type': 'AUDIT', 'point_percent': 93, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'A_THROU_F', 'point_percent': 86, 'course': 'Greco-Roman Tradition'}]"
Bond,Mewton,bmewton5r@vistaprint.com,6/17/1965,Sweden,2.88,Communications,106,"[{'grade_type': 'A_THROU_F', 'point_percent': 95, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'AUDIT', 'point_percent': 99, 'course': 'Literary Genres'}, {'grade_type': 'PASS_FAIL', 'point_percent': 82, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'Literary Themes'}]"
Wanids,Kiley,wkiley5s@statcounter.com,10/25/1954,Russia,3.13,Pre-Med,130,"[{'grade_type': 'A_THROU_F', 'point_percent': 78, 'course': 'Modern Philosophy'}]"
Kristine,Martynov,kmartynov5t@goo.ne.jp,5/31/1962,Czech Republic,1.61,Anthropology,95,"[{'grade_type': 'AUDIT', 'point_percent': 85, 'course': 'Sacred Writing'}, {'grade_type': 'PASS_FAIL', 'point_percent': 96, 'course': 'Literary Genres'}, {'grade_type': 'AUDIT', 'point_percent': 97, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Chaddie,Pepys,cpepys5u@addthis.com,3/24/1923,Malaysia,3.07,Pre-Med,124,"[{'grade_type': 'A_THROU_F', 'point_percent': 94, 'course': 'Literary Genres'}, {'grade_type': 'PASS_FAIL', 'point_percent': 77, 'course': 'World Views'}, {'grade_type': 'A_THROU_F', 'point_percent': 93, 'course': 'Science: History and Methodology'}]"
Franky,Redmond,fredmond5v@latimes.com,1/21/1999,Russia,2.71,Economics,127,"[{'grade_type': 'AUDIT', 'point_percent': 93, 'course': 'Sacred Writing'}, {'grade_type': 'A_THROU_F', 'point_percent': 83, 'course': 'World Views'}, {'grade_type': 'A_THROU_F', 'point_percent': 100, 'course': 'Applied Themes in English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 84, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'Modern History-19th and 20th Centuries'}]"
Marguerite,Hillborne,mhillborne5w@time.com,9/18/1935,Slovenia,3.05,Business,86,"[{'grade_type': 'A_THROU_F', 'point_percent': 92, 'course': 'Applied Themes in English'}, {'grade_type': 'A_THROU_F', 'point_percent': 97, 'course': 'Literary Themes'}]"
Ingeborg,Wackly,iwackly5x@nasa.gov,3/6/1932,Ukraine,2.52,Computer Science,124,"[{'grade_type': 'AUDIT', 'point_percent': 85, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'A_THROU_F', 'point_percent': 87, 'course': 'Knowledge'}, {'grade_type': 'AUDIT', 'point_percent': 94, 'course': 'Science: History and Methodology'}]"
Madison,Han,mhan5y@nba.com,8/13/1962,Sudan,3.22,Business,87,"[{'grade_type': 'PASS_FAIL', 'point_percent': 86, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'A_THROU_F', 'point_percent': 85, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'AUDIT', 'point_percent': 99, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'Literary Themes'}]"
Ronda,Nanson,rnanson5z@myspace.com,7/21/1935,United States,2.3,Pre-Med,101,"[{'grade_type': 'PASS_FAIL', 'point_percent': 91, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'A_THROU_F', 'point_percent': 97, 'course': 'Applied Themes in English'}, {'grade_type': 'A_THROU_F', 'point_percent': 97, 'course': 'Literary Genres'}]"
Brinn,Bache,bbache60@ow.ly,6/9/1998,China,2.22,Philosophy,89,"[{'grade_type': 'AUDIT', 'point_percent': 89, 'course': 'Sacred Writing'}]"
Ryann,Dymott,rdymott61@delicious.com,11/23/1989,Turkmenistan,2.69,Economics,125,"[{'grade_type': 'A_THROU_F', 'point_percent': 80, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'A_THROU_F', 'point_percent': 95, 'course': 'World Views'}, {'grade_type': 'A_THROU_F', 'point_percent': 79, 'course': 'Applied Themes in English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 93, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'PASS_FAIL', 'point_percent': 84, 'course': 'Post-Classical History'}]"
Renae,Page,rpage62@istockphoto.com,7/31/1985,French Guiana,1.63,Business,125,"[{'grade_type': 'A_THROU_F', 'point_percent': 78, 'course': 'Renaissance to Baroque Art'}]"
Marget,Defau,mdefau63@about.me,8/15/1932,China,2.93,Sociology,83,"[{'grade_type': 'AUDIT', 'point_percent': 94, 'course': 'Post-Classical History'}, {'grade_type': 'A_THROU_F', 'point_percent': 97, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 86, 'course': 'Greco-Roman Tradition'}]"
